,,paragraphs,pre
104,1,Is that woman a complete fruit-loop or is it just me?,38
687,0,Is that all that interests youGold?,38
941,0,Is that the man I knewTreasurer Sanchez?,38
1169,0,Is that all there is?,38
1429,0,What is that?,38
1945,1,Heywhat kind of talk is that?,38
2518,0,Is that the usual way priests go on vacation?,38
2678,0,Is that all?,38
2856,0,Is that better?,38
2960,1,What the fuck!,17
3036,0,Is that him?,38
3091,1,What the fuck do you want from me?,17
3103,1,What the fuck am I gonna protect that freak forHe was Dino's boynot mineHe shows up with his mask onleaves with his mask onNobody knows.,17
3119,1,What the fuck are you?,17
4166,1,What the fuck you telling meWadeI never seen the guy get shotI told you that.,17
4172,1,Who the fuck knowsMusta slipped or somethingI just heard the gun go off.,17
4759,0,TONMrPresidentit's an honorNow with your permission can we lead you the fuck out of here.,17
6067,1,Well that's greatThat's just fucking greatmanNow what the fuck are we supposed to domanWe're in some real pretty shit now!,17
6069,0,Let's get the fuck out of here!,17
6117,0,All rightwe can't blow the fuck out of them...why not roll some canisters of CN-20 down thereNerve gas the whole nest?,17
7023,1,How is that possibleYou give concertsdon't youI hear they are quite successful.,38
7457,0,How is that?,38
7665,1,Get the fuck out of hereJack.,17
7682,0,Oh shitWhat is that?,38
7693,0,ShitDavidwhat is that?,38
7753,0,We've known Debbie whatsince the eighth gradeHow many years of foreplay is that?,38
8024,0,SONWhatever it is that makes you such a riot with women.,38
8981,0,What is that?,38
9014,1,What the hell is that sound?,38
9016,0,What is that?,38
9098,0,Is that Donald Trump's car?,38
9416,0,Is that the Ransom fileThanksDon't wear that outfit again.,38
9691,0,Is that a raincoat?,38
10152,0,Is that myscenarioTell me.,38
10216,0,Is that how Larry feels?,38
10240,0,Can we buy into their IPOOr is that a Justice Deptproblem?,38
10960,1,Is that all?,38
10993,1,Is that what you think?,38
11014,1,Is that written in his shoe?,38
11545,0,Is that all the coke in the place?,38
11671,1,What the hell is that?,38
11717,1,You stupid son of a bitchWhat the fuck are you doing!,17
11723,1,What the fuck were you thinkinghuhBurning peopleYou're a fireman.,17
11994,1,Who the fuck is doing this?,17
12348,1,What the fuck are youA drug counselor or a drug dealerAnd you don't even do your own productWhat kind of businessman are you?,17
12750,0,Is that so?,38
12838,1,What point is that?,38
13485,1,Fuckwhat the fuck is going on --,17
13494,1,Shut the fuck upyou fucking faggotYou just shut the FUCK UP.,17
13501,1,HeyIHoly fuckholy fuckwhat the fuck did you guys do?,17
13509,1,Holy fuckHoly fuckwhat the fuck did you guys do?,17
13582,1,Is that what I didnowAnd of courseyou can prove all of it.,38
13609,1,What the fuck is going on?,17
13675,1,Robertowhat the fuck?,17
13930,1,Why the fuck wasn't he in restraints?,17
13964,0,What is that?,38
14082,1,The fuck are you talking about --,17
14090,1,Shut the fuck upHe was gonna cut him loose.,17
14092,1,What the fuck are you doing?,17
14097,1,What the fuck happened to you --,17
14540,0,Is that DrBennett's car?,38
14897,1,Is that everything?,38
15017,1,The fuck you laughinat?,17
15193,0,I've saved ya lifegalI can do and say whatever the fuck I want.,17
15206,1,The fuck you been dointo me?,17
15275,1,The fuck are all these people doinhereBeen drinkinin this shit hole for years ain't seen this many people since I don't know...,17
16078,1,What the fuck for?,17
16373,1,Is that what you call it?,38
16636,0,Wellthat changes everythingGet the fuck away from meI mean it!!,17
16687,0,Is that a birthday cake?!,38
17590,1,From the neighborhoodShut the fuck upYou like telephonesHuhYou wanta go for a ride?,17
18022,0,I know what the fuck he looks like!,17
18025,1,Who the fuck was heRoccoI know you fuckinknow!,17
18035,1,What the fuck are you doing?,17
18070,1,What the fuck are you doing hereWhathuhWHATWHATWHATANSWERSI WANT FUCKINANSWERS!,17
18099,1,Is that worthless brother of your thereI want you both ta hear this.,38
18155,0,Then what the fuck?,17
18174,1,Where the fuck are you going?,17
18181,0,Is that rightRambo?,38
18328,1,Chiefwhat the fuck is this?,17
18331,1,Detective GreenlyWho the fuck are you?,17
18353,1,What the fuck do you mean?,17
18372,1,Hurry the fuck up!,17
18445,1,Shut upShut the fuck up!,17
18466,1,Gimme the fuckinthingNow sit the fuck down!,17
18540,1,Who did thatWhat the fuck is that?,17
18585,1,What the fuck are we doing out here?,17
18624,1,You gave $383 to the goddamn housekeeperWhat the fuck is your problem?,17
18715,1,What the fuck is going on here?,17
18781,0,Is that the manager?,38
18971,0,Is that OK?,38
18990,1,What the fuck is Dignan doing with that copHe loves them.,17
19093,1,Jesus ChristWhat the fuck is that?,17
19099,1,Who's watching the doorWhat the fuck are you doingGet back in position.,17
19185,1,What the fuck possessed you?,17
19367,1,Is that your chiquita?,38
19727,1,And why is that?,38
19803,0,The crown is that of ScotlandAnd Scotland is William Wallace.,38
20200,1,What the fuck are you doing?,17
21175,0,Is that a serious offer?,38
21476,0,Is that Jango?,38
21868,0,Ah-haSo what is that--a radio?,38
21942,0,EHow is that Wally doing?,38
22007,0,Is that soon?,38
22381,0,Is that what it wasJakeWas it love?,38
22957,0,Is that your idea of arithmetic?,38
23294,1,I don't get youEven if it was truewhich it isn'twhat the fuck difference would it make to you?,17
23300,1,What the fuck are you talking about?,17
24268,1,What the hell is that?,38
24328,1,EWhat the hell is that supposed to mean?,38
24370,1,Okayshut the fuck upLexNowthenstep number onewe find us a scalperI gottwenty-five.,17
24381,1,What the fuck!,17
24577,1,LookI want to livebut I don't know where the fuck I'm gonna find two hundred bucks.,17
24702,0,Is that a cellar door?,38
24781,1,Why is that?,38
24900,1,MANHow is that possible?,38
25453,1,Is that all?,38
26387,0,Is THAT Odin?,38
27747,1,ShitDo not do thatWhere the fuck are you?,17
27824,1,Is that an offer?,38
27992,0,Then who the fuck are you?,17
28017,1,"The ""Other Placewhat is that...?",38
28149,0,What is that?,38
28243,1,Yeswe can see some kind of mistWhat is that?,38
28279,1,What the hell is that?,38
28580,1,"Is that what you call it""Real""?",38
28599,1,What is that thing?,38
28987,1,Sensitivewhat is that?,38
29097,1,What the fuck is this guy doing?,17
29684,1,What the fuck are we doing out hereSomebody call the policeWe need help!,17
29754,1,What the fuck are you doing he's in there!,17
30099,1,Oh my GodWhat is that?,38
30543,1,Is that why you did it?,38
30654,0,...Is that not true?,38
30849,1,What is that to youEvil as you are.,38
31061,1,Is that your diagnosis?,38
31578,1,Just listen to daddysugarand don't do nothinstupidYou twoSimon says sit the fuck down!,17
31803,1,What the fuck is she dointhere?!,17
31805,1,What'd ya meanwhatThe fuckinwomanthe hostageWhere the fuck is sheRichard!?,17
31819,1,ShitI started to get worriedWhere the fuck ya been?,17
31850,1,What the fuck is wrong with you --,17
31852,1,What the fuck was that about?,17
32994,1,What IS that thingIt serves no useful purpose to have a bunch of CHOPPY CRUSHY things in the middle of a CATWALK!?.',38
33062,1,This isn't mineWaitwhere is that kid?...,38
33140,0,MathesarWhat is that?,38
33345,0,TONWho is that!?,38
33395,0,TONAnd is that the most horrible thing in the world?,38
33629,1,Is that the truthWellwe can't carry on like animals any longer.,38
33900,1,I can hear youbut where the fuck are youman?,17
33950,1,Who the fuck are you?,17
33978,1,Who the fuck is MomoJesusthese fucking names...,17
33993,1,Get the fuck outta my chair.,17
34221,1,KarenWhat the fuck are you doing?!,17
34598,1,What the fuck?,17
34641,1,Why notWhy the fuck not?,17
35786,1,What is that?,38
35863,0,So is that your boyfriend?,38
35990,1,What the fuck is she doingShe was supposed to be here three hours ago!,17
36932,1,Is that your professional opinion?,38
37671,0,Is that soYou might marry me?,38
37749,0,Is that him over there?,38
39011,0,Is that for me?,38
39385,1,GWhere is that girlshe was working with himshe enticed me into her room.,38
39510,1,What the fuck are you doin with a son?,17
39914,1,Is that right?,38
40091,1,What the fuck are you talking about?,17
40345,1,What the fuck are you doing letting strangers in without --,17
40433,1,What is that?,38
41290,1,"AFFor saying ""shitOr is that okay now?",38
41553,1,What kind of a life is that?,38
41614,0,Is that a fact?,38
42036,0,Who the fuck knowsThe Four AcesHe goes there.,17
42409,0,What is that he's working on?,38
42625,0,TRISTAnd why is that?,38
43132,1,Stay the fuck away from me.,17
43472,1,Get the fuck out of here.,17
43640,1,What the fuck is that?,17
43675,1,What the fuck is that?,17
43681,1,Shut the fuck upBarry.,17
43813,1,Holy ShiiteWhat the fuck's this?,17
43836,0,Surebut is that it for the list?,38
43838,1,Is that it?,38
44112,1,Who the fuck's Pig?,17
44153,1,Is that the last of it?,38
44259,1,Is that rightI'd like a word with him.,38
44518,1,Is that a threat?,38
45494,0,Can I call the Mayor a bird of preyor is that libelous?,38
46584,0,Heyum...what kind of animal is that?,38
46659,1,PAULDINGI figured that muchWhy the fuck you asking so many jackass questions for?,17
46800,1,Is that allthink real hard.,38
46846,0,How long is that gonna take?,38
47161,0,How is that helpingNatalieHow exactly?,38
47373,1,Go the fuck awayRosie.,17
47985,1,Is that what you think?,38
48208,1,Is that what makes a winner?,38
48392,0,Is that a fact?,38
48563,0,Is that all he said?,38
48792,1,What the hell is that?,38
49151,0,Is that what you think of meI believe in the Grailnot the Swastika.,38
49700,0,Is that what you're hoping to find at this palaceDrJones?,38
49960,1,Is that all?,38
50741,0,Is that Ryuji?,38
51498,1,Is that a threat?,38
52150,1,YWhat the fuck...?,17
52790,1,Is that the Walls of Jericho going up?,38
53241,0,"They're AgencytooDon't you get itCIA and Mafia togetherTrying to whack out the BeardMutual interestsThey been doing it for yearsThere's more to this than you dreamFBI fucking hates the CIANavy Intelligence got something to do with it tooCheck out ""Alan Popein MiamiJack YoungbloodBill HarveyColonel RoselliThe shooterI hearwas a Dallas copthe bagman at Ruby's clubI heard he shot his own partnerGot thatCheck out the rich fucks in DallasH.LHuntHe's dirtyThat's all I knowBut the Agency always runs the showCheck out something called ""MongooseOperation MongooseGovernmentPentagon stuffthey're in chargebut who the fuck pulls whose chain who the fuck knowsfun 'ngames mancheck out Southeast Asiathat's the next big numberthe heroin trail""Ohwhat a deadly web we weave when we practice to deceive.""",17
53828,1,What the fuck I tell youYou don't hafta shoot nobodyJust hold the gunThey'll get the idea.,17
53837,1,Why the fuck you at homeCause I spent ten thousand dollars gittinyour ass homeLookI gotta problemI need helpand you can help me.,17
53851,0,How old is that machine gun shit?,38
53860,1,NTWhat the fuck can I sayI'm seriousmanWhat the fuck can I sayThank youthank youthank you.,17
54025,0,And is that it?,38
54368,1,What the fuck is that shit?,17
54440,1,Nowhold on thereI ain't pullinno shitIt's my moneyI can do whatever the fuck I wanna do with it.,17
54486,1,What the fuck's that got to do with it?,17
54496,1,How the fuck they know that?,17
54609,0,Who's arm is that?,38
54752,1,Wellwhy the fuck keep her around?,17
54870,1,How the fuck did he find me?,17
54874,1,You know what the fuck I'm talkinaboutYou talk to her?,17
54881,1,What the fuck you doinknockin on the door like the goddamn policeYou lookinto get shot?,17
54891,0,Is that what I think it is?,38
55067,1,Goddamn itWhat kind of bullshit is that?,38
55077,1,Things happenWhat the fuck are you talking aboutThey did something to usFrankWe have to expose this.,17
55102,1,What the hell is that supposed to mean?,38
55453,0,How high is that?,38
55500,0,Is that the one who died?,38
55898,1,IJesus what the hell is that?,38
56177,1,YoTeachwhat the fuck?,17
56573,0,Is that a boat?,38
56663,0,Is that tooth hereDid anyone see it?,38
57495,1,Now why is that?,38
57532,1,What the fuck is wrong with you BrianIf you'll stop taking notes for once and open your eyesyou'll see that he is a homicidal fucking killerHe isfor real!,17
57703,1,Shut the fuck up.,17
57759,1,Man I haven't seen her in foreverWhat the fuck's she up to?,17
57886,1,MWhat the fuck yoYou wanna catch a beat down?,17
57890,1,MYeah watch the fuck where you skateYou know what I'm saying?,17
57964,0,Why is that?,38
58420,1,Andwhat path is that?,38
59052,1,She was in a great fortressfirst in the mountainsthen in the jungleHow is that possible?,38
59200,1,What is that awful looking place?,38
60141,1,Let's face itwhat the fuck are you doing in Las Vegas?,17
60566,1,What the hell is that for?,38
61646,0,Is that legal?,38
61749,1,Why is that?,38
62264,1,What the fuck?,17
62651,1,How the fuck are we gonna do thatRay?!,17
62859,0,What is that?,38
63448,1,Why is that funny?,38
63496,0,Is that the windNot yetYou must hear my birds sing.,38
64055,0,Andywho is that guy?,38
64085,0,What night is that?,38
64811,0,Is that all my story meant to you?,38
65297,0,Is it my eyesor is that thing a little...,38
65604,1,SAnd who the hell is that?,38
65749,1,OkayFineWhere the hell is that?,38
65839,1,ONWhat the fuck is going on?,17
65864,1,ONWhich one is that?,38
65877,1,ONWhat safe place is that?,38
66222,1,What the fuck was that about?,17
66607,1,What the fuck was that about?,17
66612,1,What the fuck's going on?,17
66650,1,What the fuck is that supposed --,17
66659,1,LookmanI never met RuizokayI don't know what the fuck I'm picking upwhat the fuck I'm dropping offwho the fuck I'm meetingAll I know is Maxie's still pissed at me cause I sold his fucking van.,17
66662,1,What the fuck do you have to complain about?,17
66663,1,What the fuck do you...,17
66725,0,Is that the woman from..?,38
66892,0,EWhat the fuck'Red Dragon?',17
67016,1,What the fuck was you toldDon't talkright?,17
67019,1,What the fuck you thinkI wanna 'hangwith you motherfuckersYeah you're workingAnd put down the champagne.,17
67836,1,NCreasyWhere the fuck are you?,17
68402,0,IRISH WOMANOhthat's a sad storyAnd her husband is that little fellowworks in Peter Reeves.,38
68841,0,Is that liquor?,38
69895,1,Shut the fuck up and do what I say!,17
69905,0,Is that all?,38
69937,1,What the fuck is going on.,17
69956,1,COME ON RUSSELLWho the fuck's Russell?!,17
70092,1,DWho the fuck are youMother Teresa?,17
70705,1,TWhat is THAT!,38
70984,1,YeahSo who the fuck does?,17
71029,1,IAWhat the fuck does that mean?,17
72263,1,SONWhose statue is that?,38
73086,0,LLOWThat's funnyWhy is that?,38
73778,0,Is that like a party trick?,38
74279,0,ELLAnd what is that?,38
74392,0,"All we know is that the city mysteriously vanished around 2,134 B.C.",38
75089,0,ZENBURGWhat is that?,38
75592,0,Who is that?,38
75625,0,Who is that?,38
75685,1,NESNiggayou got knock the fuck out.,17
75771,1,Who the fuck is thatDay-Day?,17
75817,1,YShhhhRoachshut the fuck up.,17
75820,1,WhatThis look like a 7-11 or somethingGet the fuck outta here!,17
75823,1,What the fuck you looking at?,17
76087,1,Is that something precious?,38
76270,1,NESFrogsThey copy our blue jeans and when we need their help in Kuwaitwhere the fuck are they?,17
77725,1,Madameit is that kind of approach which has made Paris what it is.,38
77739,1,Is that thing lost againListenif you are interested in a view...,38
77986,1,HKAWhere is that?,38
78547,1,Let's get the fuck out of hereshall weladies?,17
78793,1,Who the fuck are theyBobare you working on revoking the Posts's television licenseGood.,17
78889,0,Is that the truth?,38
79264,0,And where is that.,38
80114,1,The fuck you talking about?,17
80160,1,It's to follow my instinctsAnd my instincts say get the fuck out of Dodge.,17
80251,1,So what the fuck's a Finn?,17
80262,1,...I know I amLet's just do what we gotta do hereand get the fuck gone.,17
80444,1,SHUT UPShut the fuck upboth of youbefore I kill you!,17
80817,1,Why the fuck didn't you invite meI would've come.,17
80981,0,No wayI'm so happy I'm about to bustHerehoneyThis is for youIt cost me my whole savingsbut I said what the fuck.,17
81280,1,We've got the KidWE'VE GOT YOUR KIDWhat the fuck is she thinking?!,17
81281,1,MWHO THE FUCK BREAKS IN THROUGH THE NEIGHBOR'S HOUSE?!,17
81289,1,MGet the fuck away from me.,17
81337,1,So what the fuck are we supposed to do?!,17
81341,1,What the fuck is funny about this?,17
81578,1,Get the fuck out of my house!,17
81579,1,"""Get the fuck out of my house.""",17
81671,0,RWhat the fuck?,17
81686,1,RGoRunGo onGet the fuck out of here!!,17
81687,1,RShut upJust shut the fuck up.,17
81730,1,Sabuwhat the fuck you doingAin't nobody gonna push on this street.,17
81895,1,Shut the fuck up!!,17
82157,0,Lord Cornwallis is brilliantHis weakness is that he knows it.,38
82175,0,Is that so?,38
82199,0,Is that why the Assembly was convened?,38
82352,0,Is that rightdad?,38
82948,0,GTONWait for my orderwhat the blazes is that?,38
83041,0,Is that so?,38
83229,0,And you think O'Brien is that leverage?,38
83312,0,Is that what Argon told you?,38
83546,0,Is that so?,38
83590,0,Is that a threatDrBright?,38
83824,0,Is that so?,38
83829,0,Is that so?,38
83857,0,Is that soWellhave you seen enoughor would you like a photograph?,38
83889,0,Is that so?,38
84325,0,What is that?,38
84519,0,What color is that hedge of yours?,38
85458,1,CALM DOWN SHUT THE FUCK UP AND CALM DOWN SHUT SHUT SHUT UP SHUT UP --,17
85461,1,I said calm down and shut the fuck upWhat's your problem?,17
85463,1,Why don't you shut the fuck up?,17
86113,1,PELAGIEWhat thought is that?,38
86219,1,Ohwhy is that?,38
86364,0,Is that from one of the Gospels?,38
86586,1,ERWho the fuck are you trying to kidYou are that soulless monster.,17
86720,1,Some things changed between usNowhe thinks who the fuck he isHe's been passing certain remarks that I don't like.,17
86931,1,Get the fuck outa hereWhadda you mean nothingYou stupid bitch!,17
88309,1,plus the forty to Masonhow many letters is that?,38
88477,1,What the fuck is going on.,17
88639,1,LWhat the fuck are you talking about.,17
88951,1,A snake charmerwhat the fuck d'you thinkI'll call a doctortake care of himfix 'm right upNowhere's MrBrown and MrBlue?,17
88975,1,NKWhat the fuck was that chick's nameOh this is just greatI'm totally fuckintortured now.,17
88989,1,NKSo he'll tell us who the fuck set us up.,17
88996,1,NKWhat the fuck d'you think we've been askineach other?,17
89085,1,Tobywho the fuck is TobyTobyTobythinkthinkthink...,17
89114,1,ITEWhat the fuck are you talking about?,17
89143,1,What the fuck do you think you're doinGive me my book back!,17
89145,1,I found this old address book in a jacket I ain't worn in a coon's ageToby whatWhat the fuck was her last name?,17
89159,1,What the fuck are they waiting forThat motherfucker cut off my earHe slashed my faceI'm deformed!,17
89257,1,NKBoth of you two assholes knock it the fuck off and calm down!,17
89324,1,NKYeahand that was a fucking miracleBut if they did get awaywhere the fuck are they?,17
89365,1,ITEHow the fuck do you thinkThe cops shot him.,17
89879,0,Is that your kind of readingSteve?,38
91022,1,Waitthere is that other favor.,38
91427,0,Why is that?,38
91549,0,Is that supposed to comfort me?,38
91803,0,Is that what he tells you?,38
92519,1,The fuck was that?,17
92668,1,What the fuck!,17
92670,1,What the fuck!,17
92697,1,So what the fuck were you thinking?,17
92794,1,Is an abattoir like alike awhat is that?,38
92863,1,What the fuck are you doing?,17
93598,0,Is that him?,38
93618,0,What friend is that?,38
93929,0,It is that.,38
93964,0,Is that what he saidWellhe figured it okay this time.,38
94263,0,Is that a problem?,38
94520,0,Is that why she left you?,38
95074,1,What the fuck you talking aboutman?,17
95101,0,Is that right?,38
